planet_name,host_star,Number_of_stars,Number_of_planets,discovery_method,Discover_year,Discovery_facility,orbit_period_days,planet_radius_earth,planet_mass_earth,Planet_temperature,Orbital_shape,Distance_from_host_star,Host_star_temp,Host_star_radius,Host_star_mass,Host_star_age,Distance_from_earth,planet_type,habitable_zone_flag,multi_planet_system,Recent_discovery,Distance_category,star_type,Orbit_category
Kepler-1856 b,Kepler-1856,1,1,Transit,2021.0,Kepler,1.302000046,1.73447868,3.66,1344.0,0.0,0.0215,4948.0,0.816,0.782,10.9,848.76,Super-Earth,No,No,True,Far(500-2kpc),K-type,Short(1-10d)
Kepler-116 b,Kepler-116,1,2,Transit,2014.0,Kepler,5.968734,3.42,11.6,1251.0,0.0,0.069,6142.0,1.454,1.198,3.16,955.168,Mini-Neptune,No,Yes,False,Far(500-2kpc),F-type,Short(1-10d)
Kepler-1958 b,Kepler-1958,1,1,Transit,2021.0,Kepler,9.328619957,2.05124311,4.86,806.0,0.0,0.0856,5749.0,0.864,0.961,3.98,1320.38,Mini-Neptune,No,No,True,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
TOI-169 b,TOI-169,1,1,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),2.2554477,12.172974,251.40353,1715.0,0.0,0.03524,5880.0,1.288,1.147,4.7,407.84,Gas Giant,No,No,True,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
HD 12648 b,HD 12648,1,1,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,133.60001,13.4,622.9468,818.0,0.04,0.54,4835.0,11.02,0.67,4.5,182.192,Gas Giant,No,No,False,Mid(100-500pc),K-type,Long(100-365d)
Kepler-1301 b,Kepler-1301,1,1,Transit,2016.0,Kepler,9.08237046,1.4,2.54,734.0,0.0,0.0815,5188.0,0.81,0.85,4.9,854.28,Super-Earth,No,No,False,Far(500-2kpc),K-type,Short(1-10d)
Kepler-879 c,Kepler-879,1,2,Transit,2024.0,Kepler,0.646716,0.4,0.0364,818.0,0.0,0.102015,5456.75,1.022,0.974,4.27,802.672,Sub-Earth,No,Yes,True,Far(500-2kpc),G-type(Sun-like),Ultra-Short(<1d)
HD 33142 d,HD 33142,1,3,Radial Velocity,2022.0,Multiple Observatories,89.9,9.32,63.5656814,818.0,0.191,0.452,5025.4,4.17,1.52,2.72,121.375,Gas Giant,No,Yes,True,Mid(100-500pc),K-type,Medium(10-100d)
Kepler-1695 b,Kepler-1695,1,1,Transit,2020.0,Kepler,4.7329,1.11948901,1.46,957.0,0.0,0.0529,5473.19,0.987155,0.96,0.5,791.175,Super-Earth,No,No,True,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
NGTS-9 b,NGTS-9,1,1,Transit,2019.0,Next-Generation Transit Survey (NGTS),4.43527,11.99363,921.707,1448.0,0.06,0.058,6330.0,1.38,1.34,0.96,609.128,Gas Giant,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
Qatar-6 b,Qatar-6,2,1,Transit,2017.0,Qatar,3.506195,11.903958,212.31044,1006.0,0.0,0.0423,5052.0,0.722,0.822,1.02,100.848,Gas Giant,No,No,False,Mid(100-500pc),K-type,Short(1-10d)
HD 213885 b,HD 213885,1,2,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),1.008035,1.745,8.83,2128.0,0.0,0.02012,5978.0,1.1011,1.068,3.8,48.0883,Super-Earth,No,Yes,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
Kepler-1103 b,Kepler-1103,1,1,Transit,2016.0,Kepler,19.79191978,2.27,5.77,736.0,0.0,0.15336,6092.0,1.15,1.11,3.31,1331.92,Mini-Neptune,No,No,False,Far(500-2kpc),F-type,Medium(10-100d)
NGTS-11 b,NGTS-11,1,1,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),35.45533,9.157753,109.33352,435.0,0.13,0.201,5050.0,0.832,0.862,3.9,190.422,Gas Giant,No,No,True,Mid(100-500pc),K-type,Medium(10-100d)
CoRoT-10 b,CoRoT-10,1,1,Transit,2010.0,CoRoT,13.2406,10.87,874.0,600.0,0.53,0.1055,5075.0,0.79,0.89,3.0,338.386,Gas Giant,No,No,False,Mid(100-500pc),K-type,Medium(10-100d)
TOI-1728 b,TOI-1728,1,1,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),3.49151,5.05,26.78,767.0,0.057,0.0391,3980.0,0.6243,0.646,7.1,60.798,Neptune-like,No,No,True,Nearby(<100pc),K-type,Short(1-10d)
HIP 114933 b,HIP 114933,1,1,Radial Velocity,2021.0,Multiple Observatories,1481.6,13.4,616.58710958,818.0,0.21,2.84,4823.0,5.27,1.39,3.4,101.766,Gas Giant,No,No,True,Mid(100-500pc),K-type,Very-Long(365d+)
11 Com b,11 Com,2,1,Radial Velocity,2007.0,Xinglong Station,323.21,12.2,4914.89848585,818.0,0.238,1.178,4874.0,13.76,2.09,3.98,93.1846,Gas Giant,No,No,False,Nearby(<100pc),K-type,Long(100-365d)
Kepler-1162 c,Kepler-1162,1,2,Transit,2023.0,Kepler,59.284064,1.81,3.93,401.0,0.0,0.2832,5225.0,0.859,0.861,0.5,940.211,Mini-Neptune,No,Yes,True,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
HD 86226 c,HD 86226,1,2,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),3.98442,2.16,7.25,1311.0,0.075,0.049,5863.0,1.053,1.019,4.6,45.683,Mini-Neptune,No,Yes,True,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
HD 158259 b,HD 158259,1,5,Radial Velocity,2020.0,Haute-Provence Observatory,2.178,1.28228,2.22,1462.0,0.0,0.102015,5801.89,1.21,1.08,3.98,27.0498,Super-Earth,No,Yes,True,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
HD 158259 d,HD 158259,1,5,Radial Velocity,2020.0,Haute-Provence Observatory,5.1980814,2.18,5.41,818.0,0.0,0.102015,5801.89,1.21,1.08,3.98,27.0498,Mini-Neptune,No,Yes,True,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
Kepler-184 b,Kepler-184,1,3,Transit,2014.0,Kepler,10.687576,2.36,6.17,780.0,0.0,0.092,5788.0,0.873,0.872,2.95,610.326,Mini-Neptune,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
GJ 3512 b,GJ 3512,1,2,Radial Velocity,2019.0,Calar Alto Observatory,203.109,14.3,146.51889563,818.0,0.4279,0.3376,3141.0,0.139,0.123,5.5,9.48637,Super-Jupiter,No,Yes,False,Nearby(<100pc),M-type(Red Dwarf),Long(100-365d)
HD 158259 e,HD 158259,1,5,Radial Velocity,2020.0,Haute-Provence Observatory,7.951,2.34,6.08,818.0,0.0,0.102015,5801.89,1.21,1.08,3.98,27.0498,Mini-Neptune,No,Yes,True,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
HD 158259 f,HD 158259,1,5,Radial Velocity,2020.0,Haute-Provence Observatory,12.028,2.35,6.14,818.0,0.0,0.102015,5801.89,1.21,1.08,3.98,27.0498,Mini-Neptune,No,Yes,True,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
Kepler-1112 b,Kepler-1112,1,1,Transit,2016.0,Kepler,14.36267939,3.02,9.38,918.0,0.0,0.1239,6496.0,1.54,1.34,2.09,1671.28,Mini-Neptune,No,No,False,Far(500-2kpc),F-type,Medium(10-100d)
Kepler-345 c,Kepler-345,1,2,Transit,2014.0,Kepler,9.387427,1.2,2.2,575.0,0.0,0.077,4504.0,0.623,0.61,2.75,260.0,Super-Earth,No,Yes,False,Mid(100-500pc),K-type,Short(1-10d)
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021.0,NASA Infrared Telescope Facility (IRTF),402000000.0,12.44196858,2542.627256,434.0,0.0,7506.0,3406.0,0.388,0.37,0.475,10.8864,Gas Giant,No,No,True,Nearby(<100pc),M-type(Red Dwarf),Very-Long(365d+)
HIP 65 A b,HIP 65 A,2,1,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),0.9809734,22.75427,1021.18779,1411.0,0.0,0.01782,4590.0,0.7242,0.781,4.1,61.7856,Super-Jupiter,No,No,True,Nearby(<100pc),K-type,Ultra-Short(<1d)
L 98-59 b,L 98-59,1,5,Transit,2019.0,Transiting Exoplanet Survey Satellite (TESS),2.253114,0.837,0.46,620.0,0.031,0.0223,3415.0,0.3155,0.2923,4.94,10.6194,Sub-Earth,No,Yes,False,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
